Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Before Unload,2019-07-26T16:20:36.733-07:00,3989899729,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,7690,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,933979920,446297,487584,,,,3,42,1,29,198,62,3851,12,4148,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Before Unload,2019-07-26T16:20:39.873-07:00,6603732351,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,684,74,1763,7,2469,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Before Unload,2019-07-26T16:20:42.258-07:00,2462328812,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,315,5,1041,7,1380,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|N/A,N/A,stg.procore.com,Before Unload,2019-07-26T16:20:45.392-07:00,9926898905,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,629,71,1721,9,2374,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T16:20:47.641-07:00,4217438245,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/about,7198,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,349,2,1452,4,1821,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T16:20:50.616-07:00,2779169863,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/blueprint,7599,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,272,70,1841,8,2163,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T16:20:53.393-07:00,5039759027,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,213,1,1842,8,2079,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T16:20:55.780-07:00,9328256568,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,141,82,1800,3,1963,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T16:20:57.278-07:00,5351693253,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/construction-financials,5815,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,137,1,872,6,1069,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T16:21:00.00-07:00,5423269819,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/construction-financials/accounting-integrations,9449,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,135,3,2072,4,2255,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/continuing-education,procoredev,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-26T16:21:07.191-07:00,6057788136,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/continuing-education,3941,100,testid-1234567890,Customer/Collaborator,,4876,,,+7,Online,Available,Visible,,,,Country,,FirstName|LastName|Email|Phone|Company|mktoButton|Country|submit,1,1,1,1,144,1,813,10,990,1,1,1,1,1,1,,1,,1,7,,,,,,,,,,,
https://stg.procore.com/demo,procoredev,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-26T16:21:08.728-07:00,8056353424,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/demo,2749,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,273,77,863,3,1152,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au,procoredev,200,stg.procore.com|AU|Home|En Au,Home|En Au,stg.procore.com,Before Unload,2019-07-26T16:21:11.387-07:00,7469008207,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au,7016,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,529,72,1732,4,2278,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/about,procoredev,200,stg.procore.com|AU|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T16:21:13.793-07:00,8157500709,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/about,7145,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,128,76,1479,6,1640,1,1,1,1,1,1,,,,,,,,,,,,,,,,
