Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-28T01:03:17.502-07:00,2320600117,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,7708,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,936559987,446297,487584,,,,1295|4876,3,33,1,73,332,39,5656,13,6124,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,,2
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-28T01:03:21.903-07:00,1976993271,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,7652,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,1065,42,2667,13,3762,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-28T01:03:25.332-07:00,9616164198,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,7652,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,433,3,2258,9,2716,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-28T01:03:31.701-07:00,5003406518,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,646,434,2697,9,3366,1,1,1,1,1,1,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-28T01:03:34.854-07:00,9961974830,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/about,7198,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,503,1,1544,6,2066,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-28T01:03:38.703-07:00,6010678432,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,2,1,1,1,180,285,2732,8,2966,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-28T01:03:44.693-07:00,5691873354,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/buildersclub,3945,15,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+5,Online,Available,Visible,,,,,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton,1295|4876,1,1,1,1,207,2,2832,8,3082,1,,,,,,,1,,,5,,,,,,,,,,,,2
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-28T01:03:47.845-07:00,3992892897,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/certification,6161,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1228|1295|4876,1,1,1,1,538,79,2417,4,2973,1,,,,,,,,,,,,,,,,,,,,,,3
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-28T01:03:52.488-07:00,9921514642,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/construction-financials,5788,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,502,2,3255,7,3780,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-28T01:03:57.878-07:00,1416548159,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/construction-financials/accounting-integrations,9449,100,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+5,Online,Available,Visible,,,,,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton,1295|4876,1,1,1,1,204,80,2567,5,2814,1,1,1,1,1,1,,1,,,5,,,,,,,,,,,,2
