Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-31T22:10:21.596-07:00,6083392352,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/,7198,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,948840618,446297,487584,,,1295,4,36,1,59,1015,87,4727,12,5861,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,,1
https://stg.procore.com/about,procorestaging,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-31T22:10:26.11-07:00,7718598544,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/about,7170,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,904,77,3312,4,4234,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/blueprint?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-31T22:10:32.120-07:00,9089031887,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,2,1,1,1,700,79,4194,8,5037,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/buildersclub,procorestaging,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-31T22:10:36.539-07:00,1176529404,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/buildersclub,3945,15,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,434,1,3464,8,3930,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/certification?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-31T22:10:40.09-07:00,5488502842,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/certification,6161,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1228|1295,1,1,1,1,754,14,2552,5,3325,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/construction-financials,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-31T22:10:47.220-07:00,7385021347,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/construction-financials,5788,10,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,592,9,5158,5,5820,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-31T22:10:51.194-07:00,2006860943,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/construction-financials/accounting-integrations,8928,7,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,1300,4,2510,4,3829,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-31T22:10:57.995-07:00,7953501433,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,2767,68,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+7,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Phone|Company|mktoButton|Email|Email|submit,4876|1295,1,1,1,1,600,2,2734,4,3350,1,1,1,,,,,1,,1,7,,,,,,,,,,,,2
https://stg.procore.com/continuing-education,procorestaging,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-31T22:11:03.918-07:00,5348124708,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/continuing-education,3913,15,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,2,1,1,1,578,9,4308,7,4907,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-31T22:11:07.524-07:00,5150653198,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,2721,22,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,4876|1295,1,1,1,1,449,2,2996,4,3464,1,,,,,,,,,,,,,,,,,,,,,,2
