Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://www.procore.com/,procoreprod2,200,www.procore.com|US|Home,Home,www.procore.com,Before Unload,2020-02-06T16:56:48.885-08:00,4581545726,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/,,,7849,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,5,11,1,39,232,66,2702,122,3127,1,1,1,1,1,1,,,,,,,,,,,,2,,,,,
https://www.procore.com/about,procoreprod2,200,www.procore.com|US|Company|About,Company|About,www.procore.com,Before Unload,2020-02-06T16:56:52.648-08:00,6611516535,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/about,,,7707,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,667,1,2860,16,3562,,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/blueprint,procoreprod2,200,www.procore.com|US|Resource|Blueprint,Resource|Blueprint,www.procore.com,Before Unload,2020-02-06T16:56:55.918-08:00,6079118008,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/blueprint,,,8013,7,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,3,1,1,1,402,1,2607,18,3068,,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/buildersclub,procoreprod2,200,www.procore.com|US|Resource|Builders Club,Resource|Builders Club,www.procore.com,Before Unload,2020-02-06T16:56:59.13-08:00,6819628868,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/buildersclub,,,4560,13,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,141,2,2633,14,2932,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/certification,procoreprod2,200,www.procore.com|US|Resource|Certification,Resource|Certification,www.procore.com,Before Unload,2020-02-06T16:57:02.150-08:00,9655035277,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/certification,,,6138,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1228,1,1,1,1,324,2,2540,26,2916,1,,,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/project-financials,procoreprod2,200,www.procore.com|US|Product|Project Financials|Overview,Product|Project Financials|Overview,www.procore.com,Before Unload,2020-02-06T16:57:05.943-08:00,3760182898,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/project-financials,,#fragment,9123,7,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,5647,287,1,1,1,485,9,2445,32,3265,,,,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/accounting-integrations,procoreprod2,200,www.procore.com|US|Product|Accounting Integrations|Overview,Product|Accounting Integrations|Overview,www.procore.com,Before Unload,2020-02-06T16:57:09.734-08:00,5851143567,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/accounting-integrations,,,12496,5,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,5647,151,1,1,1,463,1,2641,30,3308,,,,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/continuing-education,procoreprod2,200,www.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,www.procore.com,Before Unload,2020-02-06T16:57:12.612-08:00,4852376726,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/continuing-education,,,4582,13,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,145,1,2485,12,2675,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T16:57:15.599-08:00,3668176626,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,3129,19,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,4876,2,1,1,1,261,2,2523,24,2825,1,,,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/en-au,procoreprod2,200,www.procore.com|AU|Home,Home,www.procore.com,Before Unload,2020-02-06T16:57:18.412-08:00,5276254235,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au,,,6996,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,144,1,2448,15,2650,,,,,,,,,,,,,,,,,,,,,,,
